           Type     Irradiance             lx
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Components        Average
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value       172.5591             lx

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Statistics
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            Min       42.78938             lx
            Max       364.3198             lx
 Total_Rad_Flux       7.565997              W
 Total_Lum_Flux       1380.473             lm

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Resolution         Pixels          Units
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Horizontal             10              m
       Vertical             20              m


------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value          index              1              2              3              4              5              6              7              8              9             10
          index            y\x      0.1000000      0.3000000      0.5000000      0.7000000      0.9000000       1.100000       1.300000       1.500000       1.700000       1.900000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              1      0.1000000       46.35016       49.79091       55.27211       57.59262       59.37301       61.13339       63.87400       66.03447       67.63482       68.47500
              2      0.3000000       51.65132       56.95248       60.59328       62.19363       68.95511       70.37542       72.51589       74.73638       74.29628       79.67746
              3      0.5000000       57.23254       62.81376       66.47457       72.89597       77.79705       81.05776       80.57766       86.89904       90.61986       91.28000
              4      0.7000000       66.73462       70.65548       76.89685       82.11799       84.79858       92.96037       94.50071       103.2026       104.9630       105.7632
              5      0.9000000       73.27606       78.77726       86.99906       91.38002       97.14128       107.9437       110.5042       115.6653       120.5464       121.0865
              6       1.100000       81.11777       85.97884       95.86100       103.6227       112.5647       120.3664       126.5077       132.5490       136.5499       141.2910
              7       1.300000       87.69922       94.36068       104.6429       117.6058       128.1481       138.2103       144.6717       151.3532       157.3345       162.9757
              8       1.500000       97.64139       105.9232       120.2063       130.3286       145.2118       160.3751       163.6158       176.9188       179.9794       181.2597
              9       1.700000       106.3033       118.9861       131.8689       143.9715       160.7552       175.9986       188.9814       201.4241       206.3452       215.0671
             10       1.900000       113.1848       128.6682       146.3321       159.3149       178.6591       193.9625       209.2258       226.5296       235.0515       241.7530
             11       2.100000       123.1270       135.4497       158.4347       174.8383       201.2841       219.4081       234.3714       259.4769       264.4379       271.4595
             12       2.300000       128.0281       148.0924       166.8366       190.7218       214.4070       237.6121       262.1574       277.4808       298.8855       300.6659
             13       2.500000       136.7500       156.4943       178.5391       202.4844       227.7299       257.9365       277.2407       296.5050       313.1086       329.5922
             14       2.700000       142.7913       158.9348       184.4804       211.0662       239.1324       266.7785       291.7639       318.4098       336.4737       344.1554
             15       2.900000       142.8313       164.1560       190.3817       214.7871       242.5732       273.3799       302.2262       325.8314       348.7164       360.3790
             16       3.100000       143.3314       165.0562       187.6011       211.3663       244.4736       273.1999       305.5269       334.6533       349.2965       361.1591
             17       3.300000       142.2112       162.3356       184.8205       211.3463       238.2922       266.1183       301.5261       321.2304       343.5953       353.7375
             18       3.500000       140.7908       157.5945       179.4393       207.6855       230.7106       257.2764       282.8820       305.3669       321.3104       333.6931
             19       3.700000       131.7889       149.6528       171.9377       193.7224       216.2274       238.8123       266.2183       287.0229       298.3654       312.6285
             20       3.900000       124.4873       142.1511       158.7148       180.9997       202.0243       219.6481       242.6732       261.0172       271.9596       284.2623
