           Type     Irradiance           W/m2
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Components        Average
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value      0.9457496           W/m2

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Statistics
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            Min      0.2345170           W/m2
            Max       1.996738           W/m2
 Total_Rad_Flux       7.565997              W
 Total_Lum_Flux       1380.473             lm

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Resolution         Pixels          Units
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Horizontal             21              m
       Vertical             41              m


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value          index              1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21
          index            y\x     0.04761905      0.1428571      0.2380952      0.3333333      0.4285714      0.5238095      0.6190476      0.7142857      0.8095238      0.9047619       1.000000       1.095238       1.190476       1.285714       1.380952       1.476190       1.571429       1.666667       1.761905       1.857143       1.952381
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              1     0.04878049      0.2345170      0.2396700      0.2501953      0.2655447      0.2719037      0.2721230      0.2914194      0.2975592      0.2992037      0.3106062      0.3084134      0.3156495      0.3273809      0.3146628      0.3392218      0.3468965      0.3396604      0.3416339      0.3455809      0.3518303      0.3501857
              2      0.1463415      0.2429591      0.2540326      0.2682857      0.2728905      0.2864857      0.3029315      0.3064399      0.3156495      0.3303411      0.3254074      0.3421821      0.3350556      0.3424014      0.3500761      0.3477736      0.3619170      0.3830773      0.3706881      0.3680568      0.3752929      0.3780339
              3      0.2439024      0.2699302      0.2777146      0.2777146      0.2941604      0.3138953      0.3089616      0.3152110      0.3258459      0.3409761      0.3466773      0.3585182      0.3593953      0.3576411      0.3746351      0.3823098      0.3811038      0.3940411      0.3870243      0.4108158      0.3941508      0.4088423
              4      0.3414634      0.2868146      0.2830869      0.3000809      0.3121411      0.3346170      0.3320953      0.3370291      0.3408664      0.3660833      0.3779243      0.3699206      0.3857086      0.3883399      0.3974399      0.4187098      0.4096098      0.4237532      0.4071978      0.4250689      0.4366906      0.4238628
              5      0.4390244      0.3001905      0.2988748      0.3163074      0.3348363      0.3334110      0.3443748      0.3559965      0.3717845      0.3845026      0.3944797      0.4063207      0.4075267      0.4206833      0.4335110      0.4408568      0.4425014      0.4560966      0.4518207      0.4631135      0.4631135      0.4656351
              6      0.5365854      0.3216797      0.3136760      0.3296833      0.3442652      0.3462387      0.3643291      0.3782532      0.3995231      0.4082942      0.4263845      0.4237532      0.4442556      0.4647580      0.4416243      0.4655255      0.4762701      0.4860279      0.4966629      0.4843833      0.5002809      0.5036797
              7      0.6341463      0.3167459      0.3317664      0.3609303      0.3650965      0.3839544      0.3945893      0.4218893      0.4398701      0.4399797      0.4438171      0.4664026      0.4685954      0.4784629      0.4904135      0.4967725      0.5206737      0.5307605      0.5160689      0.5316376      0.5342689      0.5389834
              8      0.7317073      0.3324242      0.3657544      0.3840640      0.3872435      0.4078556      0.4214508      0.4301122      0.4500665      0.4624556      0.4647580      0.4918388      0.5094906      0.5029123      0.5179328      0.5460002      0.5656255      0.5490701      0.5752737      0.5729713      0.5796593      0.5857991
              9      0.8292683      0.3596146      0.3854893      0.3929448      0.3920676      0.4168460      0.4517110      0.4574122      0.4937026      0.4838352      0.5068593      0.5250593      0.5377773      0.5626653      0.5717653      0.5804268      0.5940219      0.6167171      0.6036701      0.6012581      0.6097003      0.6178135
             10      0.9268293      0.3744158      0.4016062      0.4154207      0.4317568      0.4463388      0.4768183      0.4807653      0.5008291      0.5397508      0.5324051      0.5574027      0.5916099      0.6031220      0.6056436      0.6291063      0.6339304      0.6268039      0.6606822      0.6487316      0.6636425      0.6742774
             11       1.024390      0.3968917      0.4250689      0.4450231      0.4649773      0.4880014      0.4962243      0.5159593      0.5374484      0.5574027      0.5830581      0.5989557      0.6190195      0.6366714      0.6615593      0.6578316      0.6749352      0.6966437      0.6978497      0.7171461      0.6986172      0.7294256
             12       1.121951      0.4141050      0.4445845      0.4625653      0.4712267      0.4994038      0.5253882      0.5443557      0.5679280      0.6041087      0.6169364      0.6500473      0.6596955      0.6773473      0.6933545      0.7135280      0.7264654      0.7543136      0.7483931      0.7698823      0.7743774      0.7616594
